decile,n_trades,predicted_mean_bps,realized_mean_bps,realized_mean_bps_1,realized_mean_bps_60
1,175943,-0.15040836583842643,-0.11274647197673887,-0.08512062086152113,-0.23423351995662628
2,175943,-0.09286976734624186,-0.09002098843094386,-0.07800036413941246,-0.1122404187009528
3,175943,-0.06965314362873493,-0.06879044622937684,-0.061988884468679895,-0.06799319564402073
4,175943,-0.050153168181451276,-0.05635274008976088,-0.0499650685519159,-0.06416799706897697
5,175943,-0.031000078340167693,-0.03362250735169479,-0.03196440804174785,-0.045852295922615256
6,175943,-0.010682088571657537,-0.011754264997333952,-0.015140430223247651,-0.03630222285430338
7,175943,0.012047893149856706,0.003744848950380001,-0.0010240362729547457,-0.046841985731495936
8,175943,0.038585225001593386,0.024898249878145803,0.019886550165154303,-0.006682029323498936
9,175943,0.0719268369488494,0.05641140840807682,0.044581203174638616,0.038271391303025974
10,175942,0.16250514923629494,0.168531438520534,0.12112701733914495,0.3831730912642008
spread,,0.31291351507472137,0.2812779104972729,0.20624763820066608,0.6174066112208271
