feature,delta_r2_5,delta_r2_1,delta_r2_60
depth_imbalance,0.0015100391186726458,0.0045849792970366066,0.00026130960034220774
momentum_5,0.001120628921420841,0.0022301501729607986,0.0032419115618737004
ofi_5,0.000852731934923523,0.0017259468006228795,0.0020717592541156238
momentum_60,0.0005663378576541422,7.439242845075356e-6,0.02337528629025165
run_length,0.0005409092256216663,0.0015189443865716301,0.00009484565923600918
spread_bps,0.0004391054618192447,0.0013142622578926622,2.1550409845527696e-6
realized_vol_60,0.0001951054602460367,0.0003934511887100367,2.917370986121881e-6
ofi_60,0.00010535532570965511,0.0003085595845976341,0.0010926532548857226
realized_vol_5,0.00007563628244633414,0.00017719049719200353,0.00002598803332709565
signed_imbalance_5,0.00004623238043011124,0.00010562769721023102,0.00003684620568533692
intensity_5,0.00004523282999868705,0.000036365445941433094,0.000015347587525749162
signed_imbalance_60,0.000011386469959129286,2.3404425079087687e-6,0.0016950441767197288
vpin,6.9967938476356295e-6,0.000018020562326914735,1.0777506108672341e-6
intensity_60,1.4597013933137504e-6,0.00010300153207221108,0.000089712516131768
